Wavelength (nm),absorption coefficient,relative refractive index
890.492981,0.0587673356899,1.32383220228
900.065979,0.064105112024,1.32363635045
909.638,0.0707874319629,1.32343927983
919.210999,0.0844581940655,1.32324601662
928.78302,0.117871288215,1.32305828067
938.356018,0.170971473701,1.32286812362
947.927979,0.255976034078,1.32268206032
957.5,0.412622169869,1.322498319
967.072998,0.47576176467,1.32231434424
976.64502,0.486554848321,1.32213404355
986.218018,0.466996417473,1.32195206226
995.789978,0.427480930635,1.32177276984
1005.359985,0.379564956149,1.32159105659
1014.940002,0.324689600748,1.32141315331
1024.51001,0.269743488776,1.3212347779
1034.079956,0.224614586791,1.32105496578
1043.650024,0.18491605638,1.32088835655
1053.22998,0.157919634917,1.32071154687
1062.800049,0.14434599733,1.32052639735
1072.369995,0.140568065356,1.32035451538
1081.939941,0.147385628732,1.32017954072
1091.52002,0.166881931807,1.32000443637
1101.089966,0.193150624148,1.31982603461
1110.660034,0.223978407654,1.31964645162
1120.22998,0.254103970901,1.31946591022
1129.810059,0.336869481964,1.31929947636
1139.380005,0.572843678552,1.31911453332
1148.949951,0.947811549919,1.31894533558
1158.52002,1.1559768546,1.31877205202
1168.099976,1.20524405042,1.31858320847
1177.670044,1.23222556835,1.31840833528
1187.23999,1.26040505408,1.31823247974
1196.810059,1.28158502027,1.3180492634
1206.390015,1.26187085147,1.3178803218
1215.959961,1.24017329979,1.31770170828
1225.530029,1.19952287227,1.31751276013
1235.099976,1.16561091708,1.31733459014
1244.680054,1.13501530822,1.31714923187
1254.25,1.10184925888,1.31696158068
1263.819946,1.0836460424,1.31678328204
1273.390015,1.09454744593,1.31659389046
1282.969971,1.14551331958,1.31638983948
1292.540039,1.22151541903,1.31620224788
1302.109985,1.35309495569,1.31600913976
1311.680054,1.57214064258,1.31581264457
1321.26001,1.88161791292,1.31561249015
1330.829956,2.27252600618,1.31540812298
1340.400024,2.7181388276,1.31521966324
1349.969971,3.20220657494,1.31500934836
1359.550049,3.62130505253,1.31479203967
1369.119995,4.23394415562,1.31458859747
1378.689941,5.48431307893,1.31436014222
1388.26001,8.92191795795,1.31414340516
1397.839966,15.3502902232,1.31392073272
1407.410034,21.9427062467,1.31370185788
1416.97998,26.70671804,1.31354743969
1426.550049,29.8962728434,1.31340889151
1436.119995,31.8981481243,1.31326514959
1445.699951,32.5600154471,1.31311005236
1455.27002,32.7416929057,1.31295081057
1464.839966,31.8289476098,1.31278842663
1474.410034,29.5594322215,1.31261431654
1483.98999,26.93067569,1.31242266583
1493.560059,23.6856259603,1.31222641639
1503.130005,21.0947241608,1.31201990505
1512.699951,18.5983542003,1.31179059172
1522.280029,16.3770922942,1.31157293858
1531.849976,14.8097889028,1.31133163738
1541.420044,13.0802688219,1.31111086903
1550.98999,11.7927445419,1.31087508545
1560.569946,10.6022703856,1.31064430867
1570.140015,9.66317817826,1.31038336592
1579.709961,8.97562908065,1.31014500689
1589.280029,8.31115806289,1.30992112574
1598.859985,7.77041353869,1.30967196714
1608.430054,7.3253770849,1.3094203119
1618.0,6.989946,1.30916462916
1627.569946,6.67363416211,1.30889472443
1637.150024,6.41800009752,1.30864879698
1646.719971,6.21922643063,1.3083780314
1656.290039,6.03428815153,1.30812289617
1665.859985,5.92246392118,1.30783688381
1675.439941,5.84402285848,1.30754123449
1685.01001,5.83738616627,1.30723750327
1694.579956,5.87532139592,1.30693282393
1704.150024,5.90930267016,1.30663740103
1713.72998,6.07035931332,1.3063347717
1723.300049,6.2582085742,1.30602792162
1732.869995,6.49477736865,1.30571486494
1742.439941,6.95390904436,1.30539826714
1752.02002,7.48476700081,1.30507282883
1761.589966,7.99991351516,1.30474139505
1771.160034,8.51670147971,1.3044003353
1780.72998,9.03518054968,1.30406211684
1790.310059,9.18397322537,1.30374238309
1799.880005,9.17412598441,1.30338410025
1809.449951,9.16273062981,1.30300643635
1819.02002,9.19837065399,1.30265433908
1828.599976,9.32905389646,1.30224318643
1838.170044,9.7165906872,1.30183863725
1847.73999,10.4839607267,1.3013569309
1857.310059,12.1394624493,1.30086515557
1866.890015,17.1024084906,1.30040202239
1876.459961,27.7851111276,1.29996578607
1886.030029,40.6443780022,1.29961615124
1895.599976,79.940563127,1.29920683715
1905.180054,111.184353188,1.29887048407
1914.75,123.57373476,1.29879208325
1924.319946,135.319937384,1.29876410632
1933.890015,136.442637502,1.29866319864
1943.469971,132.06758694,1.29856087019
1953.040039,123.500260012,1.29842330371
1962.609985,112.667721803,1.29821428166
1972.180054,103.0513412,1.29792355641
1981.76001,93.3931315728,1.29761500803
1991.329956,84.4863810466,1.29727931598
2000.900024,76.5340517813,1.29687316258
2010.469971,69.0062530533,1.29642917552
2020.050049,62.7384133191,1.29597080489
2029.619995,56.7673010045,1.2955288174
2039.189941,51.5484940191,1.29505977851
2048.76001,48.1514959284,1.29457056057
2058.340088,43.3986667401,1.29410563915
2067.909912,39.7291587712,1.29359009319
2077.47998,36.5164081811,1.29309866194
2087.050049,33.9898508771,1.29255080975
2096.629883,29.9314051307,1.29202623295
2106.199951,29.7338009425,1.29151120527
2115.77002,27.3798943721,1.29093190418
2125.340088,25.7672635719,1.29037343066
2134.919922,24.4370300111,1.28981625234
2144.48999,23.252220284,1.28924554088
2154.060059,22.4089731048,1.28866211512
2163.629883,21.6865127467,1.2880647873
2173.209961,21.0397161864,1.28745151498
2182.780029,20.6740849417,1.2868233666
2192.350098,20.3005360661,1.28617879284
2201.919922,20.1459233362,1.28551670068
2211.5,20.0543131773,1.28483666342
2221.070068,20.1222058704,1.28413615126
2230.639893,20.3406635363,1.28343336431
2240.209961,20.6670536532,1.282761215
2249.790039,21.0848689344,1.28200070065
2259.360107,21.7331208738,1.28122790819
2268.929932,22.5145395164,1.2805061967
2278.5,23.406818805,1.27968800422
2288.080078,24.5371515227,1.27891722693
2297.649902,25.8040624416,1.27806402132
2307.219971,27.2055054606,1.27721964714
2316.790039,28.9625507911,1.27632512827
2326.370117,30.7399318891,1.27544539906
2335.939941,32.638617812,1.27454904541
2345.51001,35.772865114,1.27363463242
2355.080078,37.3923556969,1.27261916528
2364.659912,39.6078731465,1.2715684738
2374.22998,42.2216161859,1.27054559231
2383.800049,44.9047910033,1.26949427587
2393.370117,48.0097526619,1.26845144009
2402.949951,51.4400862455,1.26731400181
2412.52002,54.7648589339,1.26613686343
2422.090088,58.5407957723,1.2649154022
2431.659912,62.4084420566,1.26362119306
2441.23999,66.495165759,1.2623891423
2450.810059,71.6678036058,1.26103606547
2460.379883,77.8962951881,1.25962823109
2469.949951,83.7784292332,1.25828367638
2479.530029,89.7891537735,1.25671435611
2489.100098,95.5996007072,1.25533118356
2498.669922,100.018694316,1.25370664394
2508.23999,103.006721724,1.25189837922
